VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJ3E1EA9J,Thurston,Olympia,WA,98512,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,35,196806361,POINT (-122.9131 47.01359),PUGET SOUND ENERGY INC,53067011821
YV4BR00L1M,Kitsap,Port Orchard,WA,98366,2021,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,26,128577011,POINT (-122.63847 47.54103),PUGET SOUND ENERGY INC,53035092600
1G1RH6E48E,King,Renton,WA,98055,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,33,107026377,POINT (-122.197 47.43876),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029305
5YJSA1E14H,King,Kirkland,WA,98034,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,45,180652328,POINT (-122.22901 47.72201),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022005
KNDC3DLC3P,Walla Walla,Walla Walla,WA,99362,2023,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,16,237827138,POINT (-118.34261 46.07068),PACIFICORP,53071920600
WB523CF06R,King,Sammamish,WA,98075,2024,BMW,IX,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41,263027264,POINT (-122.03539 47.61344),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032213
LPSED3KA7M,King,Seatac,WA,98148,2021,POLESTAR,PS2,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,233,0,33,271756775,POINT (-122.32863 47.46233),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028500
1N4AZ0CP9D,Kitsap,Poulsbo,WA,98370,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,23,263375976,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090400
5YJ3E1EB5N,Snohomish,Bothell,WA,98012,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,195234819,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052107
1N4BZ1CP3K,Kitsap,Poulsbo,WA,98370,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,23,7960809,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090502
